route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,"On the Ahmedabad-Mumbai route during the week of 2025-01-20, a temporary surcharge was implemented by transporters resulting from a regional festival week, causing the cost increase as explained by note N002, which outlines the high demand and limited truck availability during that time."
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"On the Chennai-Bangalore route during week 2025-02-24 to 2025-03-08, a cost increase occurred due to heavy flooding causing disruptions in truck transportation, leading to longer detours and elevated trip expenses, as documented in Note N001 dated 2025-02-24."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"On the Chennai-Bangalore route during week 2025-03-03, a cost increase can be attributed to the heavy flooding that occurred from February 24th to March 8th, resulting in disrupted truck movements, longer detours, and elevated trip costs. This note, identified as N001 dated February 24th, provides the explanation for the observed cost rise."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,No (justified),N001,"On the Chennai-Bangalore route during week 2025-03-10, a cost increase can be attributed to the heavy flooding from February 24th to March 8th, causing disruptions in truck movement, longer detours, and elevated trip expenses, as documented in Note N001 dated February 24th."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,No (justified),N001,"On the Chennai-Bangalore route during week 2025-03-17, a cost increase can be attributed to the heavy flooding from February 24th to March 8th, causing disruptions in truck movement, longer detours, and elevated trip expenses, as documented in Note N001 dated February 24th."
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2024-06-10,3.53,+3.2% vs this route's past average,+16.6% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2024-10-28,3.49,+3.1% vs this route's past average,+15.1% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2024-12-16,3.55,+3.5% vs this route's past average,+15.3% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2025-01-13,3.53,+2.0% vs this route's past average,+15.8% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2025-08-18,3.79,+4.8% vs this route's past average,+15.5% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,Yes,,"According to the note N006, dated 2025-09-22, the logistics industry report mentioned stable demand for freight capacity without any major disruptions this quarter. However, this note does not provide a reason for the cost increase on the Mumbai-Pune route from September 15th, and thus the rise remains unexplained."
Mumbai-Pune,2025-09-22,3.8,+2.6% vs this route's past average,+18.2% vs similar-length routes this week,Yes,,"On the specified route (Mumbai-Pune) during the week of 2025-09-22, as per the available note N006 dated the same day, a logistics industry report mentioned stable overall demand for freight capacity without any major disruptions. However, this note does not provide a reason for the observed cost increase on this route, and thus, the cause of the cost rise remains unexplained."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,Yes,,"According to the note N006 dated 2025-09-22, a logistics industry report mentioned stable demand for freight capacity without any major disruptions this quarter. However, this note does not provide a justification for the cost increase observed on the Mumbai-Pune route from October 6th, 2025, and the reason behind the rise remains unexplained."
Mumbai-Pune,2025-10-13,3.87,+1.9% vs this route's past average,+17.0% vs similar-length routes this week,Yes,,"According to the note N006 dated 2025-09-22, a logistics industry report mentioned stable demand for freight capacity without any major disruptions this quarter. However, this note does not provide a justification for the cost increase observed on the Mumbai-Pune route from October 13th, 2025, and the reason for the rise remains unexplained."
Mumbai-Pune,2025-10-20,4.1,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,Yes,,"On the specified route and during the given week, the provided note N010 dated 2025-10-27 mentions a new vehicle tracking mandate for commercial fleets and its compliance costs being absorbed by transporters without a rate change. However, this note does not explain the cost rise on the Mumbai-Pune route, leaving the cause of the increased costs unexplained."
